,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,Id,KitchenAbvGr,KitchenQual,LotArea,LotConfig,LotFrontage,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscVal,MoSold,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,CentralAir_N,CentralAir_Y,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,Street_Grvl,Street_Pave,Utilities_AllPub,Utilities_ELO,Utilities_NoSeWa,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,target1
0,856,854,0,3,0.0,3.0,1.0,706.0,0.0,6.0,1.0,1.0,0.0,3.0,150.0,2.0,2.0,4.0,0,2.0,3.0,0.0,0.0,0.0,0,2.0,2,7.0,548.0,2.0,3.0,2.0,3.0,5.0,2003.0,1710,1,1.0,4.0,1,1,3.0,8450,4.0,65.0,0,60,1.0,196.0,6.0,0,2,61,5,7,2.0,0,0.0,1.0,1.0,4.0,8.0,0,8,856.0,0,2003,2003,2008,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,208500
1,1262,0,0,3,0.0,3.0,4.0,978.0,0.0,5.0,1.0,0.0,1.0,3.0,284.0,1.0,2.0,4.0,0,2.0,2.0,0.0,0.0,3.0,1,1.0,2,7.0,460.0,2.0,3.0,2.0,3.0,5.0,1976.0,1262,0,1.0,4.0,2,1,2.0,9600,2.0,80.0,0,20,1.0,0.0,5.0,0,5,0,8,6,2.0,0,0.0,1.0,1.0,4.0,8.0,0,6,1262.0,298,1976,1976,2007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,181500
2,920,866,0,3,0.0,3.0,2.0,486.0,0.0,6.0,1.0,1.0,0.0,3.0,434.0,2.0,2.0,4.0,0,2.0,3.0,0.0,0.0,3.0,1,2.0,2,7.0,608.0,2.0,3.0,2.0,3.0,5.0,2001.0,1786,1,1.0,4.0,3,1,3.0,11250,4.0,68.0,0,60,1.0,162.0,6.0,0,9,42,5,7,2.0,0,0.0,1.0,1.0,4.0,8.0,0,6,920.0,0,2001,2002,2008,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,223500
3,961,756,0,3,0.0,4.0,1.0,216.0,0.0,5.0,1.0,1.0,0.0,2.0,540.0,2.0,2.0,4.0,272,2.0,2.0,0.0,0.0,4.0,1,0.0,1,7.0,642.0,3.0,3.0,1.0,3.0,1.0,1998.0,1717,0,1.0,3.0,4,1,3.0,9550,0.0,60.0,0,70,1.0,0.0,5.0,0,2,35,5,7,2.0,0,0.0,1.0,1.0,0.0,8.0,0,7,756.0,0,1915,1970,2006,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,140000
4,1145,1053,0,4,0.0,3.0,3.0,655.0,0.0,6.0,1.0,1.0,0.0,3.0,490.0,2.0,2.0,4.0,0,2.0,3.0,0.0,0.0,3.0,1,2.0,2,7.0,836.0,3.0,3.0,2.0,3.0,5.0,2000.0,2198,1,1.0,4.0,5,1,3.0,14260,2.0,84.0,0,60,1.0,350.0,6.0,0,12,84,5,8,2.0,0,0.0,1.0,1.0,4.0,8.0,0,9,1145.0,192,2000,2000,2008,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,250000
5,796,566,320,1,0.0,3.0,1.0,732.0,0.0,6.0,1.0,1.0,0.0,3.0,64.0,2.0,2.0,4.0,0,2.0,2.0,0.0,0.0,0.0,0,5.0,1,7.0,480.0,2.0,3.0,1.0,3.0,5.0,1993.0,1362,1,1.0,4.0,6,1,2.0,14115,4.0,85.0,0,50,1.0,0.0,6.0,700,10,30,5,5,2.0,0,0.0,1.0,1.0,4.0,8.0,0,5,796.0,40,1993,1995,2009,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,143000
6,1694,0,0,3,0.0,3.0,3.0,1369.0,0.0,6.0,1.0,1.0,0.0,4.0,317.0,2.0,2.0,4.0,0,2.0,3.0,0.0,0.0,4.0,1,2.0,2,7.0,636.0,2.0,3.0,2.0,3.0,5.0,2004.0,1694,0,1.0,4.0,7,1,3.0,10084,4.0,75.0,0,20,1.0,186.0,6.0,0,8,57,5,8,2.0,0,0.0,1.0,1.0,4.0,8.0,0,7,1686.0,255,2004,2005,2007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,307000
7,1107,983,0,3,0.0,3.0,2.0,859.0,32.0,5.0,4.0,1.0,0.0,3.0,216.0,4.0,2.0,4.0,228,2.0,2.0,0.0,0.0,3.0,2,1.0,2,7.0,484.0,2.0,3.0,2.0,3.0,5.0,1973.0,2090,1,1.0,4.0,8,1,2.0,10382,0.0,68.0,0,60,1.0,240.0,5.0,350,11,204,6,7,2.0,0,0.0,1.0,1.0,4.0,8.0,0,7,1107.0,235,1973,1973,2009,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,200000
8,1022,752,0,2,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,952.0,0.0,2.0,1.0,205,2.0,2.0,0.0,0.0,3.0,2,0.0,2,5.0,468.0,2.0,3.0,1.0,2.0,1.0,1931.0,1774,0,1.0,3.0,9,2,2.0,6120,4.0,51.0,0,50,0.0,0.0,1.0,0,4,0,5,7,2.0,0,0.0,1.0,1.0,0.0,8.0,0,8,952.0,90,1931,1950,2008,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,129900
9,1077,0,0,2,1.0,3.0,1.0,851.0,0.0,6.0,1.0,1.0,0.0,2.0,140.0,0.0,0.0,4.0,0,2.0,2.0,1.0,1.0,3.0,2,0.0,1,7.0,205.0,1.0,3.0,2.0,4.0,5.0,1939.0,1077,0,1.0,4.0,10,2,2.0,7420,0.0,50.0,0,190,1.0,0.0,6.0,0,1,4,6,5,2.0,0,0.0,1.0,1.0,4.0,8.0,0,5,991.0,0,1939,1950,2008,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,118000
